sceAta_driver
  0x46F186C3, sceDisplayWaitVblankStartCB
  0x773DD3A3, sceDisplayGetCurrentHcount
  0x210EAB3A, sceDisplayGetAccumulatedHcount
sceDisplay_driver
  0x206276C2, sceDisplayInit
  0x7A10289D, sceDisplayEnd
  0x0E20F177, sceDisplaySetMode
  0xDEA197D4, sceDisplayGetMode
  0xDBA6C4C4, sceDisplayGetFramePerSec
  0x432D133F, sceDisplayEnable
  0x681EE6A7, sceDisplayDisable
  0x7ED59BC4, sceDisplaySetHoldMode
  0xA544C486, sceDisplaySetResumeMode
  0x63E22A26, sceDisplay_driver_63E22A26
  0x5B5AEFAD, sceDisplay_driver_5B5AEFAD
  0x289D82FE, sceDisplaySetFrameBuf
  0xEEDA2E54, sceDisplayGetFrameBuf
  0xB4F378FA, sceDisplayIsForeground
  0xAC14F1FF, sceDisplayGetForegroundLevel
  0x9E3C6DC6, sceDisplay_driver_9E3C6DC6
  0x31C4BAA8, sceDisplay_driver_31C4BAA8
  0x9C6EAAD7, sceDisplayGetVcount
  0x4D4E10EC, sceDisplayIsVblank
  0x69B53541, sceDisplayGetVblankRest
  0x36CDFADE, sceDisplayWaitVblank
  0x8EB9EC49, sceDisplayWaitVblankCB
  0x984C27E7, sceDisplayWaitVblankStart
  0x46F186C3, sceDisplayWaitVblankStartCB
  0x773DD3A3, sceDisplayGetCurrentHcount
  0x210EAB3A, sceDisplayGetAccumulatedHcount
DmacManForKernel
  0x1C46158A, sceKernelDmaExit
  0xD8BC3120, sceKernelDmaChExclude
  0x2E3BC333, sceKernelDmaChReserve
  0x7B9634E1, sceKernelDmaSoftRequest
  0x59615199, sceKernelDmaOpAlloc
  0x745E19EF, sceKernelDmaOpFree
  0xF64BAB99, sceKernelDmaOpAssign
  0x3BDEA96C, sceKernelDmaOpEnQueue
  0x92700CCD, sceKernelDmaOpDeQueue
  0xA84B084B, sceKernelDmaOpAllCancel
  0xD0358BE9, sceKernelDmaOpSetCallback
  0x3FAD5844, sceKernelDmaOpSetupMemcpy
  0xCE467D9B, sceKernelDmaOpSetupNormal
  0x7D21A2EF, sceKernelDmaOpSetupLink
  0xDB286D65, sceKernelDmaOpSync
  0x5AF32783, DmacManForKernel_5AF32783
  0xE18A93A5, DmacManForKernel_E18A93A5
  0x904110FC, sceKernelDmaOpAssignMultiple
  0xD3F62265, DmacManForKernel_D3F62265
  0xA893DA2C, sceKernelDmaOpFreeLink
sceDmac
  0x617F3FE6, sceDmacMemcpy
  0xD97F94D8, sceDmacTryMemcpy
sceDmacplus_driver
  0xDF32F547, sceDmacplusInit
